,Customer ID,Circle Name,Age,Gender,Pincode,Age On Network,Connection Type (Prepaid/Postpaid),Voice Usage (Slab),Data Usage (Slab),Sms Usage (Slab),ARPU,ISD Usage,IR Usage,Amazon Prime User,Netflix User,Sender ID,VAS Subscription,VIL App Web (Login/Registration),Active User (App / Web),Recharge Own Asset,Recharge Aggregator (Value),Recharge Aggregator (Volume),Recharge Aggregator (Partner Category),Bill Payment Own Asset,Bill Payment Aggregator (Value),Bill Payment Aggregator (Volume),Bill Payment Aggregator (Partner Name),Content App Stream,Content App Active User,Content App (Movie/Live TV/Shows),Content Genre,Content Language,Credit Limit,Category DND Flag,Brand Identifier
22,22,Gondal,65-70,F,360320,14-16 Months,Postpaid,501-750,7.5GB-10GB,151-200,501-750,No,Yes,No,Yes,Lifestyle,Yes,No,No,Yes,201-250,8,Wallet,No,751-1000,9,Payment Banking,No,Yes,Movies,Thriller,Hindi,1500,Yes,Idea
23,23,Dehradun,20-25,F,248140,22-24 Months,Postpaid,101-150,10GB-15GB,501-750,751-1000,Yes,Yes,No,Yes,Healthcare,No,Yes,Yes,No,101-150,7,Payment Banking,Yes,501-750,7,Payment Banking,Yes,Yes,Live TV,Action,English,7000,No,Idea
24,24,Krishna,30-35,M,521226,12-14 Months,Postpaid,250-300,0GB-0.5GB,501-750,1-50,No,Yes,No,No,Entertainment,Yes,Yes,No,Yes,151-200,6,Wallet,Yes,250-300,2,Wallet,No,Yes,Live TV,Comedy,Hindi,1500,No,Idea
25,25,,35-40,F,505212,4-6 Months,Postpaid,51-100,1.5GB-2GB,250-300,101-150,Yes,Yes,No,Yes,Travel,Yes,Yes,No,No,151-200,1,Payment Banking,No,301-500,4,Wallet,No,No,Live TV,Sci-fi,English,500,No,Idea
26,26,Puri,25-30,M,752019,14-16 Months,Postpaid,1-50,2GB-2.5GB,>1000,151-200,No,No,No,Yes,Entertainment,No,Yes,Yes,Yes,1-50,3,Payment Banking,Yes,250-300,9,Wallet,No,Yes,Shows,Fantasy,Hindi,7000,No,Vodafone
27,27,Chingelpet,40-45,F,603112,20-22 Months,Postpaid,51-100,7.5GB-10GB,151-200,51-100,No,Yes,No,Yes,Work,Yes,No,Yes,No,501-750,4,Wallet,No,>1000,0,Wallet,Yes,No,Shows,Fantasy,Hindi,8000,Yes,Vodafone
28,28,Varanasi,35-40,M,221106,22-24 Months,Postpaid,201-250,0GB-0.5GB,51-100,201-250,No,Yes,Yes,No,Healthcare,No,Yes,No,Yes,201-250,1,Payment Banking,Yes,301-500,5,Payment Banking,No,Yes,Shows,Romance,English,6000,Yes,Vodafone
29,29,Samba,65-70,F,181141,0-2 Months,Prepaid,101-150,2.5GB-5GB,301-500,751-1000,Yes,Yes,No,No,Healthcare,No,No,No,No,1-50,6,Wallet,Yes,>1000,6,Payment Banking,No,Yes,Shows,Drama,Hindi,9000,Yes,Vodafone
30,30,Nathdwara,25-30,F,313301,18-20 Months,Postpaid,1-50,10GB-15GB,151-200,201-250,No,Yes,No,Yes,Entertainment,No,Yes,Yes,Yes,1-50,1,Payment Banking,No,250-300,7,Wallet,Yes,No,Shows,Sci-fi,Hindi,3000,No,Idea
31,31,Sattenapalle,40-45,F,522437,10-12 Months,Prepaid,201-250,>15GB,51-100,501-750,Yes,Yes,Yes,Yes,Banking Services,No,Yes,Yes,No,301-500,0,Wallet,Yes,>1000,4,Payment Banking,No,No,Movies,Fantasy,Hindi,1500,No,Idea
32,32,Jajpur,55-60,F,755012,20-22 Months,Postpaid,301-500,2.5GB-5GB,301-500,>1000,No,No,No,Yes,Banking Services,Yes,Yes,No,No,501-750,8,Payment Banking,Yes,501-750,0,Payment Banking,No,No,Live TV,Drama,English,3000,Yes,Idea
33,33,Chuchuyimlang,35-40,M,798614,20-22 Months,Postpaid,101-150,5GB-7.5GB,501-750,101-150,Yes,Yes,Yes,No,Travel,Yes,Yes,No,No,151-200,0,Wallet,No,751-1000,0,Wallet,Yes,Yes,Live TV,Comedy,English,10000,Yes,Idea
34,34,Mohammdi,20-25,M,262804,4-6 Months,Prepaid,501-750,1GB-1.5GB,751-1000,1-50,No,No,No,Yes,Lifestyle,Yes,No,No,No,101-150,7,Wallet,Yes,51-100,3,Payment Banking,Yes,No,Live TV,Horror,Hindi,1500,No,Idea
35,35,Chinsurah - Magra,30-35,M,712105,22-24 Months,Prepaid,51-100,7.5GB-10GB,751-1000,101-150,Yes,No,No,No,Travel,No,Yes,No,No,301-500,7,Wallet,No,301-500,4,Wallet,Yes,No,Live TV,Romance,Hindi,2500,Yes,Idea
36,36,Mangapet,65-70,F,506172,10-12 Months,Postpaid,1-50,1GB-1.5GB,151-200,751-1000,No,Yes,Yes,No,Healthcare,Yes,No,No,Yes,250-300,7,Wallet,Yes,>1000,2,Wallet,No,No,Movies,Drama,English,4000,Yes,Idea
37,37,Amreli,25-30,F,365220,22-24 Months,Prepaid,250-300,7.5GB-10GB,501-750,51-100,Yes,Yes,Yes,Yes,Lifestyle,No,No,Yes,No,151-200,7,Wallet,Yes,1-50,9,Wallet,Yes,Yes,Shows,Sci-fi,Hindi,3000,Yes,Idea
38,38,Tindivanam,30-35,M,605109,20-22 Months,Prepaid,151-200,1.5GB-2GB,501-750,51-100,No,Yes,No,No,Shopping,No,No,No,Yes,501-750,2,Wallet,Yes,>1000,8,Payment Banking,Yes,No,Live TV,Comedy,English,3000,No,Idea
39,39,Sanquelim,20-25,M,403107,10-12 Months,Prepaid,1001-1500,1GB-1.5GB,51-100,51-100,No,Yes,No,No,,Yes,Yes,Yes,Yes,151-200,4,Wallet,No,201-250,4,Wallet,No,No,Shows,Horror,Hindi,8000,Yes,Vodafone
40,40,Ilayangudi,65-70,M,630713,22-24 Months,Prepaid,101-150,0.5GB-1GB,101-150,201-250,Yes,Yes,Yes,Yes,,No,No,No,No,751-1000,6,Wallet,Yes,151-200,7,Wallet,Yes,Yes,Live TV,Sci-fi,Hindi,1000,No,Vodafone
41,41,Madurai South,65-70,F,625019,22-24 Months,Prepaid,1501-2000,1GB-1.5GB,250-300,151-200,Yes,No,No,Yes,Work,Yes,Yes,No,Yes,101-150,1,Wallet,No,501-750,8,Wallet,Yes,Yes,Live TV,Comedy,English,1000,Yes,Idea
42,42,Kothavalasa,20-25,F,535183,6-8 Months,Postpaid,1501-2000,1.5GB-2GB,1-50,151-200,No,No,Yes,Yes,Work,No,No,No,Yes,201-250,5,Payment Banking,Yes,201-250,1,Wallet,No,Yes,Live TV,Fantasy,English,1500,Yes,Vodafone
43,43,Kovvur,35-40,M,534350,18-20 Months,Postpaid,250-300,1.5GB-2GB,1-50,>1000,Yes,No,Yes,No,Work,No,Yes,Yes,No,151-200,9,Wallet,No,751-1000,4,Payment Banking,No,Yes,Shows,Drama,English,2500,Yes,Idea
44,44,Muvattupuzha,45-50,F,686673,6-8 Months,Prepaid,101-150,2.5GB-5GB,101-150,201-250,No,Yes,Yes,Yes,Shopping,Yes,No,No,Yes,1-50,9,Payment Banking,No,201-250,7,Wallet,Yes,Yes,Shows,Romance,Hindi,7000,Yes,Idea
45,45,Atur,60-65,F,636104,8-10 Months,Prepaid,1-50,2.5GB-5GB,250-300,201-250,No,Yes,Yes,No,Work,Yes,Yes,Yes,Yes,301-500,2,Payment Banking,No,>1000,6,Payment Banking,No,Yes,Movies,Fantasy,English,4000,Yes,Vodafone
46,46,Gambhiraopet,20-25,F,505304,6-8 Months,Prepaid,1001-1500,2GB-2.5GB,101-150,201-250,Yes,No,Yes,No,Banking Services,Yes,Yes,Yes,No,751-1000,0,Wallet,No,>1000,5,Payment Banking,Yes,Yes,Live TV,Comedy,English,4000,Yes,Vodafone
47,47,Bharthana,60-65,M,206242,20-22 Months,Postpaid,201-250,>15GB,151-200,>1000,No,Yes,No,Yes,Work,No,Yes,No,No,1-50,8,Wallet,Yes,201-250,6,Wallet,No,Yes,Shows,Drama,English,500,Yes,Vodafone
48,48,Gandevi,25-30,F,396350,4-6 Months,Prepaid,1501-2000,0.5GB-1GB,501-750,>1000,No,Yes,No,Yes,Entertainment,Yes,Yes,No,Yes,51-100,6,Payment Banking,No,151-200,6,Wallet,No,No,Movies,Sci-fi,English,1000,No,Vodafone
49,49,Sikar,25-30,F,332025,4-6 Months,Prepaid,501-750,0GB-0.5GB,>1000,301-500,Yes,Yes,Yes,Yes,,No,No,Yes,No,201-250,2,Payment Banking,No,250-300,4,Payment Banking,Yes,No,Shows,Romance,English,2500,No,Idea
50,50,Taliparamba,45-50,M,670631,12-14 Months,Prepaid,751-1000,1GB-1.5GB,250-300,>1000,Yes,Yes,No,No,Work,Yes,Yes,Yes,Yes,151-200,9,Payment Banking,No,1-50,4,Wallet,No,Yes,Shows,Horror,Hindi,1000,No,Vodafone
51,51,Tiruttani,55-60,F,631204,4-6 Months,Postpaid,151-200,7.5GB-10GB,250-300,250-300,Yes,Yes,Yes,Yes,Banking Services,No,No,No,Yes,751-1000,4,Wallet,No,250-300,8,Wallet,Yes,Yes,Movies,Comedy,English,9000,No,Idea
52,52,Phulparas,35-40,M,847421,20-22 Months,Prepaid,501-750,7.5GB-10GB,751-1000,101-150,No,Yes,Yes,No,Lifestyle,Yes,Yes,No,Yes,>1000,3,Payment Banking,Yes,250-300,7,Wallet,Yes,No,Movies,Fantasy,English,500,Yes,Idea
53,53,Alathur,30-35,F,678682,2-4 Months,Prepaid,1501-2000,0.5GB-1GB,301-500,501-750,No,Yes,Yes,Yes,Entertainment,Yes,Yes,No,Yes,301-500,7,Payment Banking,No,301-500,3,Payment Banking,Yes,Yes,Shows,Romance,English,7000,No,Idea
54,54,Banekuchi,35-40,M,781340,4-6 Months,Prepaid,151-200,2GB-2.5GB,1-50,>1000,No,No,No,No,,No,No,No,Yes,501-750,4,Payment Banking,No,1-50,0,Wallet,Yes,No,Movies,Romance,English,6000,No,Vodafone
55,55,Kozhikode,45-50,F,673015,6-8 Months,Postpaid,151-200,1GB-1.5GB,>1000,501-750,Yes,No,No,Yes,Lifestyle,Yes,No,No,Yes,201-250,4,Payment Banking,Yes,151-200,8,Payment Banking,Yes,No,Live TV,Action,Hindi,4000,Yes,Vodafone
56,56,Biloli,65-70,F,431736,6-8 Months,Prepaid,250-300,5GB-7.5GB,301-500,751-1000,No,No,No,No,Entertainment,No,Yes,Yes,No,201-250,8,Wallet,No,101-150,4,Wallet,Yes,Yes,Movies,Drama,English,9000,Yes,Vodafone
57,57,Sohella,40-45,M,768033,22-24 Months,Prepaid,751-1000,2.5GB-5GB,101-150,751-1000,Yes,Yes,No,No,Banking Services,No,No,No,Yes,1-50,0,Wallet,Yes,501-750,7,Wallet,No,No,Shows,Romance,English,500,Yes,Idea
58,58,Kaviti Mandal,45-50,M,532290,8-10 Months,Postpaid,1-50,2.5GB-5GB,501-750,>1000,No,Yes,No,No,Travel,Yes,No,Yes,No,>1000,9,Payment Banking,No,>1000,0,Payment Banking,No,No,Movies,Horror,Hindi,1000,Yes,Idea
59,59,Cuddalore,55-60,F,607003,14-16 Months,Postpaid,250-300,2GB-2.5GB,101-150,101-150,No,Yes,No,Yes,Travel,Yes,Yes,No,Yes,301-500,6,Payment Banking,No,>1000,6,Payment Banking,Yes,No,Shows,Romance,Hindi,2000,No,Idea
60,60,,65-70,M,852115,0-2 Months,Postpaid,101-150,0GB-0.5GB,>1000,101-150,Yes,No,No,No,Shopping,No,No,Yes,Yes,201-250,5,Payment Banking,Yes,501-750,8,Payment Banking,No,Yes,Live TV,Action,English,9000,No,Idea
61,61,,50-55,F,221717,20-22 Months,Prepaid,201-250,10GB-15GB,301-500,301-500,Yes,No,Yes,Yes,,No,No,No,No,>1000,5,Wallet,Yes,201-250,5,Wallet,Yes,Yes,Live TV,Comedy,English,8000,No,Idea
62,62,Meerganj,35-40,M,243504,4-6 Months,Postpaid,1001-1500,2.5GB-5GB,>1000,1-50,Yes,Yes,No,No,Healthcare,Yes,No,No,No,751-1000,5,Wallet,No,301-500,7,Wallet,Yes,Yes,Live TV,Romance,English,3000,No,Vodafone
63,63,Jangaon,60-65,M,506175,18-20 Months,Postpaid,501-750,5GB-7.5GB,>1000,1-50,Yes,No,Yes,No,Shopping,No,Yes,No,Yes,201-250,5,Wallet,No,301-500,1,Wallet,No,No,Movies,Romance,Hindi,6000,Yes,Idea
64,64,Bagma,45-50,M,799114,8-10 Months,Postpaid,151-200,2.5GB-5GB,151-200,501-750,Yes,No,Yes,No,Healthcare,Yes,No,No,No,>1000,7,Payment Banking,No,751-1000,8,Wallet,No,No,Live TV,Fantasy,Hindi,1000,Yes,Vodafone
65,65,Villupuram,35-40,F,605402,2-4 Months,Postpaid,301-500,7.5GB-10GB,1-50,301-500,No,No,Yes,No,,No,No,Yes,No,51-100,5,Payment Banking,Yes,501-750,4,Wallet,No,No,Shows,Horror,Hindi,1500,No,Idea
66,66,Wai,35-40,M,412803,14-16 Months,Postpaid,101-150,2GB-2.5GB,1-50,>1000,No,No,Yes,No,Shopping,No,Yes,No,Yes,301-500,9,Wallet,Yes,201-250,2,Payment Banking,Yes,Yes,Movies,Comedy,Hindi,4000,No,Idea
67,67,Nanguneri,35-40,F,627502,10-12 Months,Postpaid,301-500,2.5GB-5GB,301-500,751-1000,Yes,Yes,Yes,No,Food,Yes,Yes,No,Yes,301-500,2,Wallet,Yes,>1000,8,Wallet,Yes,No,Shows,Horror,Hindi,7000,Yes,Vodafone
68,68,Kamareddy,30-35,M,503102,0-2 Months,Postpaid,501-750,1.5GB-2GB,1-50,201-250,No,No,Yes,Yes,Healthcare,No,Yes,Yes,Yes,>1000,7,Payment Banking,Yes,301-500,4,Wallet,No,Yes,Shows,Romance,Hindi,1000,No,Idea
69,69,Malout,20-25,F,152107,2-4 Months,Prepaid,250-300,10GB-15GB,51-100,1-50,Yes,No,No,Yes,,Yes,No,Yes,No,501-750,4,Payment Banking,No,1-50,3,Wallet,No,No,Shows,Horror,Hindi,7000,Yes,Idea
70,70,Salipur,50-55,M,754209,4-6 Months,Prepaid,1501-2000,5GB-7.5GB,>1000,>1000,No,Yes,Yes,No,Lifestyle,Yes,No,No,No,>1000,0,Payment Banking,Yes,151-200,6,Wallet,No,Yes,Movies,Horror,Hindi,1000,Yes,Vodafone
71,71,Sahaswan,45-50,M,243638,18-20 Months,Postpaid,101-150,2.5GB-5GB,301-500,301-500,Yes,Yes,Yes,No,,No,No,No,Yes,>1000,3,Wallet,No,201-250,4,Payment Banking,Yes,Yes,Shows,Romance,Hindi,8000,Yes,Idea
72,72,Raigarh,55-60,F,496001,22-24 Months,Prepaid,751-1000,0.5GB-1GB,151-200,101-150,No,No,Yes,No,Entertainment,No,Yes,No,Yes,>1000,3,Payment Banking,Yes,201-250,1,Wallet,No,No,Movies,Fantasy,Hindi,10000,Yes,Idea
73,73,Belthangady,25-30,F,574242,18-20 Months,Postpaid,501-750,1.5GB-2GB,>1000,101-150,Yes,No,Yes,No,Banking Services,No,No,Yes,No,250-300,2,Wallet,Yes,51-100,0,Payment Banking,No,Yes,Live TV,Thriller,English,6000,Yes,Idea
74,74,Patan,45-50,M,415206,6-8 Months,Prepaid,1-50,1.5GB-2GB,51-100,250-300,Yes,Yes,Yes,No,Lifestyle,Yes,No,Yes,No,151-200,4,Payment Banking,No,151-200,2,Payment Banking,Yes,No,Movies,Horror,Hindi,500,Yes,Vodafone
75,75,Meharma,40-45,F,814160,8-10 Months,Postpaid,1-50,2.5GB-5GB,1-50,250-300,Yes,Yes,Yes,No,Entertainment,Yes,Yes,No,No,101-150,2,Payment Banking,No,301-500,2,Wallet,No,Yes,Live TV,Sci-fi,English,4000,No,Vodafone
76,76,Aligarh,30-35,F,202002,20-22 Months,Prepaid,301-500,2.5GB-5GB,>1000,>1000,No,No,No,No,Lifestyle,Yes,No,No,No,>1000,0,Wallet,No,751-1000,2,Wallet,No,Yes,Movies,Thriller,English,4000,Yes,Vodafone
77,77,Chalisgaon,20-25,F,424107,22-24 Months,Prepaid,1501-2000,10GB-15GB,751-1000,51-100,Yes,Yes,No,Yes,Banking Services,Yes,Yes,Yes,Yes,301-500,1,Wallet,Yes,751-1000,9,Wallet,Yes,Yes,Movies,Horror,Hindi,7000,No,Idea
78,78,Karvir,45-50,F,416207,4-6 Months,Postpaid,201-250,2GB-2.5GB,1-50,751-1000,No,Yes,No,Yes,Entertainment,Yes,No,No,No,751-1000,4,Payment Banking,No,301-500,4,Wallet,No,Yes,Shows,Horror,English,8000,No,Vodafone
79,79,Thiruvaiyaru,50-55,F,613203,2-4 Months,Postpaid,1-50,0GB-0.5GB,1-50,751-1000,Yes,Yes,Yes,No,Shopping,Yes,Yes,No,No,301-500,0,Payment Banking,No,151-200,3,Wallet,No,No,Shows,Drama,Hindi,6000,No,Vodafone
80,80,Murshidabad,35-40,M,742212,10-12 Months,Postpaid,151-200,2.5GB-5GB,51-100,250-300,Yes,No,Yes,No,Banking Services,Yes,No,Yes,No,501-750,9,Payment Banking,No,>1000,0,Wallet,Yes,No,Movies,Romance,English,3000,No,Idea
81,81,Gondia,55-60,M,441614,2-4 Months,Postpaid,501-750,0GB-0.5GB,51-100,751-1000,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,751-1000,4,Payment Banking,No,301-500,2,Wallet,Yes,Yes,Live TV,Drama,English,2000,Yes,Idea
82,82,Dantewada,60-65,F,494553,14-16 Months,Postpaid,250-300,7.5GB-10GB,151-200,51-100,Yes,No,No,No,Food,Yes,Yes,No,Yes,51-100,9,Wallet,Yes,301-500,8,Wallet,No,No,Movies,Sci-fi,Hindi,5000,Yes,Idea
83,83,Moyna,45-50,F,721651,22-24 Months,Postpaid,301-500,2GB-2.5GB,301-500,301-500,No,Yes,No,No,Shopping,No,No,Yes,No,250-300,4,Payment Banking,Yes,301-500,6,Wallet,Yes,Yes,Shows,Romance,English,2000,Yes,Idea
84,84,Kekri,65-70,M,305407,18-20 Months,Prepaid,1001-1500,0GB-0.5GB,>1000,51-100,No,Yes,No,Yes,Entertainment,Yes,Yes,No,Yes,1-50,1,Wallet,Yes,751-1000,2,Payment Banking,No,No,Live TV,Horror,Hindi,2500,No,Vodafone
85,85,Bhilwara,40-45,F,311604,12-14 Months,Prepaid,151-200,10GB-15GB,201-250,1-50,No,No,Yes,No,Healthcare,No,No,Yes,No,1-50,2,Wallet,No,101-150,4,Payment Banking,Yes,No,Movies,Drama,Hindi,1500,Yes,Idea
86,86,Vizianagaram,25-30,M,535004,12-14 Months,Postpaid,1501-2000,1GB-1.5GB,1-50,151-200,Yes,Yes,No,No,Healthcare,No,Yes,Yes,No,>1000,8,Wallet,Yes,101-150,5,Wallet,No,No,Shows,Horror,English,2500,Yes,Idea
87,87,Mallappally,55-60,F,686547,12-14 Months,Postpaid,201-250,10GB-15GB,101-150,1-50,Yes,Yes,No,No,Travel,No,Yes,No,No,101-150,2,Payment Banking,Yes,101-150,5,Payment Banking,No,Yes,Movies,Comedy,Hindi,1500,Yes,Vodafone
88,88,Jasrana,45-50,M,283152,0-2 Months,Prepaid,501-750,10GB-15GB,151-200,>1000,Yes,Yes,Yes,No,Entertainment,Yes,Yes,No,Yes,101-150,7,Payment Banking,Yes,101-150,5,Wallet,Yes,No,Live TV,Sci-fi,English,4000,Yes,Vodafone
89,89,Khetri,20-25,F,332716,22-24 Months,Postpaid,501-750,7.5GB-10GB,250-300,151-200,No,Yes,Yes,Yes,Lifestyle,Yes,Yes,No,Yes,1-50,7,Payment Banking,No,1-50,1,Payment Banking,Yes,Yes,Shows,Thriller,Hindi,4000,No,Vodafone
90,90,Avanashi,30-35,F,641653,18-20 Months,Postpaid,101-150,0.5GB-1GB,101-150,1-50,No,Yes,Yes,Yes,Travel,Yes,Yes,No,Yes,101-150,1,Wallet,No,1-50,4,Wallet,No,Yes,Live TV,Fantasy,English,7000,No,Idea
91,91,Morigaon,45-50,F,782105,2-4 Months,Prepaid,201-250,10GB-15GB,151-200,250-300,Yes,No,Yes,No,Lifestyle,Yes,Yes,Yes,Yes,>1000,9,Wallet,No,501-750,8,Payment Banking,Yes,Yes,Live TV,Action,Hindi,2500,Yes,Idea
92,92,Sihora,30-35,F,483440,14-16 Months,Postpaid,51-100,10GB-15GB,201-250,751-1000,Yes,Yes,Yes,Yes,Work,Yes,No,No,Yes,301-500,0,Wallet,No,301-500,5,Payment Banking,No,No,Live TV,Romance,Hindi,4000,No,Idea
93,93,Niali,25-30,M,752120,10-12 Months,Postpaid,250-300,1.5GB-2GB,201-250,>1000,Yes,Yes,No,No,Shopping,No,No,No,Yes,201-250,6,Payment Banking,No,151-200,6,Payment Banking,No,No,Movies,Romance,English,9000,Yes,Idea
94,94,Khalikote,60-65,F,761030,22-24 Months,Prepaid,51-100,5GB-7.5GB,>1000,51-100,No,No,Yes,Yes,Lifestyle,Yes,Yes,Yes,No,51-100,5,Wallet,Yes,>1000,1,Payment Banking,Yes,No,Live TV,Fantasy,Hindi,2000,No,Idea
95,95,Laukahi,55-60,F,847452,6-8 Months,Postpaid,1-50,2.5GB-5GB,201-250,751-1000,Yes,No,No,No,Work,No,Yes,No,No,201-250,5,Wallet,Yes,151-200,9,Payment Banking,No,Yes,Live TV,Romance,English,6000,No,Idea
